,ID,start_time,completion_time,email,name,gender,age,start_sector,bus_frequency,bus_waiting_time,bus_avg_spending,taxi_frequency,taxi_waiting_time,taxi_avg_spending,service_freq_order,trip_avg_time,trip_avg_km,transport_energy_source,pay_more_no_gas,EV_worries,env_pay_no_more_taxi,route_pay_no_more_taxi,env_pay_no_more_bus,transport_alternatives,massive_transport_weakness
58,113,1/21/20-12:48:34,1/21/20-12:51:10,anonymous,,Hombre,18-24,Norte_de_Quito,1_dia_a_la_semana,menos_de_5_minutos,0.50_cvs,5_o_mas_dias_a_la_semana,menos_de_5_minutos,menos_de_2,Uber;Cabify;Taxi_Amarillo;Otra;In_drive,menos_de_20_minutos,menos_de_8,Combustible_fosil,NO,Velocidad_del_vehiculo,0.25_cvs,0.5_cvs,0.10_cvs,,
59,114,1/21/20-12:47:54,1/21/20-12:51:41,anonymous,,Hombre,18-24,Carapungo-Calderon_y_alrededores,5_o_mas_dias_a_la_semana,10-20_minutos,0.50_cvs,2_dias_a_la_semana,menos_de_5_minutos,de_3_a_4_dolares,Uber;Cabify;In_drive;Otra;Taxi_Amarillo,41_a_50_minutos,24-31,Me_es_indiferente,SI,Tiempo_de_autonomia,1_dolar,1.5_dolares,0.20_cvs,,
60,115,1/21/20-12:49:10,1/21/20-12:53:36,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,1.00,3_dias_a_la_semana,5-10_minutos,de_4_a_6_dolares,Uber;Taxi_Amarillo;Cabify;In_drive;Otra,41_a_50_minutos,16-23,Electrico,SI,Tiempo_de_autonomia,1.5_dolares,1_dolar,0.30_cvs,,
61,116,1/21/20-12:48:10,1/21/20-12:55:48,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,5-10_minutos,0.50_cvs,1_dia_a_la_semana,5-10_minutos,de_2_a_3_dolares,In_drive;Cabify;Uber;Taxi_Amarillo;Otra,21_a_30_minutos,menos_de_8,Electrico,SI,Tiempo_de_autonomia,0.5_cvs,0.5_cvs,0.15_cvs,,
62,117,1/21/20-12:48:29,1/21/20-12:56:33,anonymous,,Hombre,18-24,Centro_de_Quito,4_dias_a_la_semana,mas_de_20_minutos,1.00,4_dias_a_la_semana,menos_de_5_minutos,de_4_a_6_dolares,Uber;In_drive;Cabify;Otra;Taxi_Amarillo,41_a_50_minutos,8-15,Me_es_indiferente,NO,Tiempo_de_autonomia,0.25_cvs,0.75_cvs,0.15_cvs,,
63,118,1/21/20-12:57:33,1/21/20-12:58:16,anonymous,,Hombre,18-24,Norte_de_Quito,5_o_mas_dias_a_la_semana,5-10_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
64,119,1/21/20-13:20:14,1/21/20-13:21:36,anonymous,,Hombre,18-24,Mitad_del_Mundo_y_alrededores,5_o_mas_dias_a_la_semana,10-20_minutos,1.00,No_me_movilizo_en_taxi,,,,,,,,,,,,,
65,120,1/21/20-13:50:41,1/21/20-14:00:14,anonymous,,Hombre,35-44,Valle_de_Tumbaco_y_alrededores,No_me_movilizo_en_bus,,,2_dias_a_la_semana,menos_de_5_minutos,de_4_a_6_dolares,Uber;Cabify;Taxi_Amarillo;In_drive;Otra,21_a_30_minutos,8-15,Electrico,SI,Tiempo_de_autonomia,1_dolar,1_dolar,0.30_cvs,,
66,121,1/21/20-14:55:46,1/21/20-14:56:59,anonymous,,Hombre,25-34,Sur_de_Quito,5_o_mas_dias_a_la_semana,10-20_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
67,122,1/21/20-15:01:07,1/21/20-15:01:36,anonymous,,Hombre,18-24,Norte_de_Quito,1_dia_a_la_semana,5-10_minutos,0.50_cvs,No_me_movilizo_en_taxi,,,,,,,,,,,,,
