0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,scale,bins,height,width,channels,IMAGENAME,HUMIDITY
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3784647e-06,5.3784647e-06,0.00013984008,0.00012370468,0.00017748933,0.00067768653,0.0016834595,0.0056796586,0.016022446,0.0176575,0.030076375,0.05218724,0.08039191,0.10312668,0.106267706,0.18755244,0.28724766,0.35845315,0.3862168,0.3725071,0.25673026,0.2725268,0.24014308,0.21958658,0.19038689,0.14883287,0.20366633,0.2232547,0.16903439,0.07662161,0.046754993,0.02609631,0.0128545305,0.0026139338,0.0016242963,0.0012531823,0.00046792644,25,44,1008,756,3,IMG_7602.HEIC,10
0.0,0.0,5.4778616e-06,1.6433585e-05,1.0955723e-05,0.0,1.0955723e-05,2.1911446e-05,5.4778616e-06,3.834503e-05,0.00014790226,0.00015885799,0.0002738931,0.000909325,0.0030402131,0.004070051,0.009876585,0.026397815,0.05402267,0.08849485,0.115358286,0.12318615,0.33444536,0.33236924,0.3294112,0.3174421,0.2944789,0.24076298,0.26336464,0.2404836,0.22649862,0.20558962,0.16807723,0.22160141,0.21383381,0.16275275,0.098042764,0.054444466,0.024064247,0.011930782,0.004311077,0.0023883476,0.0017200485,0.00033414955,25,44,1008,756,3,IMG_7605.HEIC,10
0.0,0.0,0.0,0.0,0.0,0.0,5.4820075e-06,1.6446022e-05,2.192803e-05,0.00012608618,0.00016446023,0.00032343843,0.0006633229,0.0008661572,0.0013814659,0.0032124564,0.0102678,0.035687868,0.057473365,0.08761344,0.13405153,0.16575946,0.41070652,0.32158005,0.24062176,0.2235782,0.24219508,0.21421492,0.26134375,0.25679368,0.25506136,0.24830204,0.21336521,0.27705517,0.20915504,0.14595297,0.086138785,0.039722625,0.016106138,0.009253629,0.00428693,0.0024559393,0.0015349621,0.00049338065,25,44,1008,756,3,IMG_7607.HEIC,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1870166e-05,8.7480665e-05,6.56105e-05,0.00010388329,0.00025697445,0.00018589641,0.00084746897,0.0016347949,0.0054675415,0.011148317,0.022088869,0.04178842,0.0910291,0.16259375,0.18783192,0.2993971,0.3093699,0.30403358,0.360475,0.35290793,0.23722023,0.2564441,0.24350789,0.23464501,0.20699018,0.14665587,0.17058183,0.15853684,0.1615221,0.10739345,0.04699352,0.016030831,0.012487865,0.009469782,0.0044287085,0.0017988211,0.00048661118,25,44,1008,756,3,IMG_7610.HEIC,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7704011e-05,7.0816044e-05,0.00012982941,0.00020064546,0.0031572152,0.013608483,0.024378423,0.030616136,0.038860302,0.07437455,0.11350041,0.123638906,0.13613203,0.14379787,0.2295974,0.27375713,0.30618495,0.3491821,0.35558504,0.25371027,0.24688832,0.20855914,0.20366104,0.21104951,0.1703952,0.18471774,0.1840686,0.18412171,0.20112936,0.15731783,0.05346021,0.015001198,0.0034109727,0.0015166436,0.0010740433,0.00023015213,25,44,1008,756,3,IMG_7613.HEIC,10
0.0,0.0,0.0,0.0,0.0,0.0,5.6848535e-06,1.1369707e-05,9.0957656e-05,0.00035246092,0.00034109122,0.0005002671,0.00038088518,0.0011085464,0.0016940864,0.004456925,0.008248722,0.02483144,0.04307982,0.06353961,0.11023499,0.12687457,0.24980383,0.33579862,0.2312712,0.25709182,0.2754425,0.22983862,0.2575864,0.24117422,0.23830338,0.25720552,0.22331241,0.28118992,0.23535863,0.22833782,0.19741222,0.12408898,0.05444384,0.020528005,0.004655895,0.001824838,0.0013473103,0.00036383062,25,44,1008,756,3,IMG_7619.HEIC,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6545746e-05,0.00013788122,0.00012685072,0.00034746068,0.00041364366,0.00081074156,0.0016711203,0.0034359999,0.008096385,0.014096975,0.023710053,0.065217815,0.110718615,0.13680574,0.2454782,0.3142754,0.30293053,0.29851836,0.29515955,0.24834614,0.2890983,0.2762202,0.28217667,0.2608823,0.18891932,0.19646971,0.17134774,0.1865919,0.14613754,0.07977807,0.036047664,0.012894651,0.003259512,0.0013843274,0.001152687,0.00020957945,25,44,1008,756,3,IMG_7621.HEIC,10
0.0,0.0,0.0,0.0,1.0939678e-05,0.0,0.0,1.0939678e-05,2.7349195e-05,6.5638065e-05,0.00014768566,0.00026255226,0.00036100936,0.0011814852,0.0026255227,0.006350483,0.013614429,0.028087623,0.041548897,0.06962558,0.12121163,0.14483039,0.25376225,0.27674103,0.27097583,0.3157191,0.35823068,0.30515686,0.3204341,0.27872658,0.25517344,0.22589341,0.16486642,0.19250551,0.16966893,0.13919099,0.08379246,0.057263743,0.038288873,0.021824658,0.0062520257,0.002308272,0.0012580629,0.00028443162,25,44,1008,756,3,IMG_7625.HEIC,10
0.0,0.0,1.1993624e-05,5.996812e-06,2.998406e-05,1.1993624e-05,1.7990436e-05,6.596493e-05,0.000107942615,0.00011993624,0.0001499203,0.0011094102,0.0041018194,0.032082945,0.021882366,0.02885666,0.03626872,0.062007036,0.0936762,0.11879085,0.14048132,0.1450209,0.21469787,0.23480517,0.23673615,0.24242112,0.2616469,0.23750374,0.2968302,0.30190352,0.29859325,0.28860256,0.2214083,0.24851389,0.24079598,0.1736077,0.10748086,0.115096815,0.09550523,0.057533413,0.008947244,0.001661117,0.0006236684,0.00014392349,25,44,1008,756,3,IMG_7695.HEIC,10
0.0,0.0,1.1855953e-05,1.1855953e-05,1.7783928e-05,1.7783928e-05,3.5567857e-05,7.706369e-05,6.520774e-05,0.000112631555,0.00015412738,0.0012152352,0.0054537384,0.03266908,0.01933706,0.026237223,0.03559157,0.06864004,0.10410712,0.13663393,0.15642744,0.15219487,0.22216277,0.2544584,0.25467178,0.2595505,0.29831356,0.28006724,0.31670213,0.30043578,0.2938142,0.2554958,0.18371391,0.20910937,0.19086306,0.12775382,0.09473499,0.111143626,0.07276591,0.04350542,0.0071550678,0.00149385,0.00033789466,0.00014227143,25,44,1008,756,3,IMG_7697.HEIC,10
