"k_fold","width","height","accuracy","F1","precision","recall","group","model","features","ALGG","MSE","RMSE","dimentions","order"
"10",940,940,0.80952381,0.85952381,0.821428571,0.840044516,"G03","XGBR","HSV_CH","REGRESSORS","0.333333333","0.577350269","940x940",2
"1",940,940,0.727272727,0.776190476,0.714285714,0.743952533,"G03","RFR","LBP","REGRESSORS","0.272727273","0.522232968","940x940",5
"2",940,940,0.5,0.55,0.511904762,0.530269058,"G03","RFR","LBP","REGRESSORS","1.818181818","1.348399725","940x940",5
"3",940,940,0.545454545,0.523809524,0.523809524,0.523809524,"G03","RFR","LBP","REGRESSORS","0.590909091","0.768706115","940x940",5
"4",940,940,0.454545455,0.557823129,0.428571429,0.484729064,"G03","RFR","LBP","REGRESSORS","1.227272727","1.107823419","940x940",5
"5",940,940,0.727272727,0.776190476,0.714285714,0.743952533,"G03","RFR","LBP","REGRESSORS","0.409090909","0.639602149","940x940",5
"6",940,940,0.681818182,0.685714286,0.666666667,0.676056338,"G03","RFR","LBP","REGRESSORS","0.954545455","0.977008421","940x940",5
"7",940,940,0.636363636,0.678571429,0.619047619,0.647444299,"G03","RFR","LBP","REGRESSORS","0.727272727","0.852802865","940x940",5
"8",940,940,0.545454545,0.597619048,0.535714286,0.56497599,"G03","RFR","LBP","REGRESSORS","1.818181818","1.348399725","940x940",5
"9",940,940,0.476190476,0.638095238,0.452380952,0.529423997,"G03","RFR","LBP","REGRESSORS","1.952380952","1.397276262","940x940",5
"10",940,940,0.571428571,0.732142857,0.571428571,0.641878669,"G03","RFR","LBP","REGRESSORS","0.80952381","0.899735411","940x940",5
"1",940,940,0.5,0.525,0.552083333,0.538201161,"G03","XGBR","LBP","REGRESSORS","0.909090909","0.953462589","940x940",5
"2",940,940,0.545454545,0.642857143,0.547619048,0.591428571,"G03","XGBR","LBP","REGRESSORS","0.454545455","0.674199862","940x940",5
"3",940,940,0.318181818,0.454081633,0.297619048,0.359566904,"G03","XGBR","LBP","REGRESSORS","3","1.732050808","940x940",5
"4",940,940,0.5,0.680952381,0.488095238,0.568616041,"G03","XGBR","LBP","REGRESSORS","1.590909091","1.261312448","940x940",5
"5",940,940,0.636363636,0.632653061,0.619047619,0.625776398,"G03","XGBR","LBP","REGRESSORS","1.545454545","1.243163121","940x940",5
"6",940,940,0.590909091,0.654761905,0.571428571,0.610263523,"G03","XGBR","LBP","REGRESSORS","1.363636364","1.167748416","940x940",5
"7",940,940,0.5,0.392857143,0.476190476,0.430528376,"G03","XGBR","LBP","REGRESSORS","1.318181818","1.148120995","940x940",5
"8",940,940,0.590909091,0.632653061,0.583333333,0.606993007,"G03","XGBR","LBP","REGRESSORS","1.136363636","1.066003582","940x940",5
"9",940,940,0.619047619,0.552083333,0.65625,0.599676724,"G03","XGBR","LBP","REGRESSORS","2.19047619","1.48002574","940x940",5
"10",940,940,0.523809524,0.608843537,0.535714286,0.569942687,"G03","XGBR","LBP","REGRESSORS","0.476190476","0.690065559","940x940",5
"1",940,940,0.909090909,0.942857143,0.916666667,0.929577465,"G03","RFR","RGB_CH","REGRESSORS","0.090909091","0.301511345","940x940",3
"2",940,940,0.863636364,0.907142857,0.869047619,0.88768671,"G03","RFR","RGB_CH","REGRESSORS","0.272727273","0.522232968","940x940",3
"3",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFR","RGB_CH","REGRESSORS","0.045454545","0.213200716","940x940",3
"4",940,940,0.863636364,0.880952381,0.857142857,0.86888454,"G03","RFR","RGB_CH","REGRESSORS","0.272727273","0.522232968","940x940",3
"5",940,940,0.863636364,0.880952381,0.857142857,0.86888454,"G03","RFR","RGB_CH","REGRESSORS","0.136363636","0.369274473","940x940",3
"6",940,940,0.772727273,0.816666667,0.761904762,0.788335847,"G03","RFR","RGB_CH","REGRESSORS","0.227272727","0.476731295","940x940",3
"7",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","RFR","RGB_CH","REGRESSORS","0.045454545","0.213200716","940x940",3
"8",940,940,0.909090909,0.942857143,0.904761905,0.923416789,"G03","RFR","RGB_CH","REGRESSORS","0.090909091","0.301511345","940x940",3
"9",940,940,0.80952381,0.821428571,0.821428571,0.821428571,"G03","RFR","RGB_CH","REGRESSORS","0.19047619","0.43643578","940x940",3
"10",940,940,0.857142857,0.892857143,0.845238095,0.868395303,"G03","RFR","RGB_CH","REGRESSORS","0.142857143","0.377964473","940x940",3
"1",940,940,0.590909091,0.720238095,0.583333333,0.644596651,"G03","XGBR","RGB_CH","REGRESSORS","0.545454545","0.738548946","940x940",3
"2",940,940,0.818181818,0.842857143,0.80952381,0.825854261,"G03","XGBR","RGB_CH","REGRESSORS","0.318181818","0.564076075","940x940",3
"3",940,940,0.681818182,0.607142857,0.666666667,0.635514019,"G03","XGBR","RGB_CH","REGRESSORS","0.590909091","0.768706115","940x940",3
"4",940,940,0.954545455,0.964285714,0.952380952,0.958296362,"G03","XGBR","RGB_CH","REGRESSORS","0.045454545","0.213200716","940x940",3
"5",940,940,0.818181818,0.880952381,0.80952381,0.843729041,"G03","XGBR","RGB_CH","REGRESSORS","0.181818182","0.426401433","940x940",3
"6",940,940,0.954545455,0.971428571,0.952380952,0.961810467,"G03","XGBR","RGB_CH","REGRESSORS","0.181818182","0.426401433","940x940",3
"7",940,940,0.863636364,0.880952381,0.857142857,0.86888454,"G03","XGBR","RGB_CH","REGRESSORS","0.136363636","0.369274473","940x940",3
"8",940,940,0.772727273,0.85,0.761904762,0.803545052,"G03","XGBR","RGB_CH","REGRESSORS","0.227272727","0.476731295","940x940",3
"9",940,940,0.857142857,0.880952381,0.869047619,0.874959508,"G03","XGBR","RGB_CH","REGRESSORS","0.142857143","0.377964473","940x940",3
"10",940,940,0.952380952,0.971428571,0.928571429,0.949516649,"G03","XGBR","RGB_CH","REGRESSORS","0.047619048","0.21821789","940x940",3
