Local_Time,SRGLOAVG1H,TAMAX1H,TAMIN1H,WS1HX,WS1HA,RHMAX1H,RHMIN1H
2015-01-01 01:00:00,0.0,0.5067114093959731,0.5232974910394266,0.13690476190476192,0.1111111111111111,0.9876543209876543,0.9325842696629213
2015-01-01 02:00:00,0.0,0.5100671140939598,0.5591397849462366,0.14285714285714288,0.19999999999999998,0.962962962962963,0.9325842696629213
2015-01-01 03:00:00,0.0,0.5201342281879195,0.5806451612903226,0.13690476190476192,0.21111111111111108,0.9382716049382716,0.9213483146067415
2015-01-01 04:00:00,0.0,0.5268456375838926,0.5806451612903226,0.12500000000000003,0.16666666666666666,0.9506172839506173,0.9213483146067415
2015-01-01 05:00:00,0.0,0.5167785234899329,0.5555555555555556,0.11904761904761907,0.15555555555555553,0.9753086419753088,0.9325842696629213
2015-01-01 06:00:00,0.0,0.523489932885906,0.5448028673835126,0.1785714285714286,0.21111111111111108,0.9753086419753088,0.9213483146067415
2015-01-01 07:00:00,0.012325390304026294,0.5402684563758389,0.5591397849462366,0.19642857142857145,0.26666666666666666,0.962962962962963,0.8988764044943821
2015-01-01 08:00:00,0.08792111750205422,0.5906040268456376,0.5734767025089607,0.2380952380952381,0.2777777777777778,0.9506172839506173,0.8764044943820225
2015-01-01 09:00:00,0.323746918652424,0.6879194630872483,0.6702508960573477,0.3095238095238096,0.36666666666666664,0.8641975308641976,0.7303370786516854
2015-01-01 10:00:00,0.5981922760887428,0.7885906040268458,0.774193548387097,0.4642857142857144,0.48888888888888893,0.7407407407407407,0.5168539325842697
2015-01-01 11:00:00,0.3516844700082169,0.7986577181208054,0.8315412186379929,0.4464285714285715,0.4444444444444444,0.5802469135802468,0.5280898876404495
2015-01-01 12:00:00,0.3311421528348398,0.8020134228187921,0.849462365591398,0.41666666666666674,0.38888888888888884,0.5679012345679013,0.4943820224719101
2015-01-01 13:00:00,0.5825801150369762,0.8557046979865772,0.8853046594982079,0.4464285714285715,0.31111111111111106,0.5185185185185186,0.4044943820224719
2015-01-01 14:00:00,0.32621199671322926,0.8422818791946309,0.89247311827957,0.4464285714285715,0.35555555555555557,0.46913580246913583,0.4269662921348315
2015-01-01 15:00:00,0.4880854560394412,0.8758389261744965,0.8960573476702511,0.41666666666666674,0.24444444444444446,0.48148148148148145,0.4157303370786517
2015-01-01 16:00:00,0.2530813475760066,0.8724832214765101,0.7885304659498209,0.47023809523809534,0.09999999999999999,0.8395061728395061,0.4382022471910113
2015-01-01 17:00:00,0.11175020542317173,0.7013422818791946,0.7347670250896059,0.5000000000000001,0.5444444444444445,0.9382716049382716,0.8426966292134831
2015-01-01 18:00:00,0.02875924404272802,0.651006711409396,0.7060931899641578,0.4464285714285715,0.4444444444444444,0.9876543209876543,0.9438202247191011
2015-01-01 19:00:00,0.0024650780608052587,0.62751677852349,0.6953405017921148,0.33928571428571436,0.24444444444444446,1.0,0.9887640449438203
2015-01-01 20:00:00,0.0,0.6140939597315437,0.6702508960573477,0.10714285714285715,0.011111111111111112,1.0,1.0
2015-01-01 21:00:00,0.0,0.6107382550335572,0.6702508960573477,0.1547619047619048,0.18888888888888888,1.0,0.9887640449438203
2015-01-01 22:00:00,0.0,0.5939597315436242,0.5985663082437276,0.2440476190476191,0.2222222222222222,1.0,0.9887640449438203
2015-01-01 23:00:00,0.0,0.5268456375838926,0.5627240143369177,0.11309523809523811,0.13333333333333333,1.0,0.9887640449438203
2015-01-02 00:00:00,0.0,0.5369127516778524,0.5842293906810037,0.11904761904761907,0.15555555555555553,0.9876543209876543,0.9213483146067415
2015-01-02 01:00:00,0.0,0.5503355704697988,0.6057347670250897,0.1904761904761905,0.21111111111111108,0.962962962962963,0.8876404494382023
2015-01-02 02:00:00,0.0,0.5570469798657718,0.6164874551971327,0.261904761904762,0.36666666666666664,0.9135802469135803,0.8764044943820225
2015-01-02 03:00:00,0.0,0.5570469798657718,0.5734767025089607,0.23214285714285718,0.3,0.9506172839506173,0.8764044943820225
2015-01-02 04:00:00,0.0,0.5738255033557047,0.5878136200716847,0.2857142857142858,0.37777777777777777,0.9259259259259258,0.8651685393258427
2015-01-02 05:00:00,0.0,0.5738255033557047,0.6200716845878138,0.3154761904761906,0.34444444444444444,0.8888888888888888,0.8539325842696629
2015-01-02 06:00:00,0.0,0.5436241610738255,0.5878136200716847,0.2440476190476191,0.3222222222222222,0.9135802469135803,0.8876404494382023
2015-01-02 07:00:00,0.015612161051766639,0.5503355704697988,0.5842293906810037,0.261904761904762,0.36666666666666664,0.9012345679012346,0.8876404494382023
2015-01-02 08:00:00,0.07970419063270337,0.6208053691275168,0.6272401433691757,0.2678571428571429,0.31111111111111106,0.8765432098765433,0.7752808988764045
2015-01-02 09:00:00,0.09695973705834017,0.6442953020134229,0.7025089605734768,0.42857142857142866,0.28888888888888886,0.7777777777777779,0.6741573033707865
2015-01-02 10:00:00,0.18652423993426456,0.6912751677852349,0.7275985663082438,0.5416666666666667,0.39999999999999997,0.6666666666666667,0.5955056179775281
2015-01-02 11:00:00,0.3352506162695152,0.738255033557047,0.7706093189964158,0.7023809523809526,0.5888888888888888,0.5802469135802468,0.4719101123595506
2015-01-02 12:00:00,0.5538208709942481,0.7885906040268458,0.8207885304659499,0.6130952380952382,0.6,0.46913580246913583,0.4382022471910113
2015-01-02 13:00:00,0.3771569433032046,0.7751677852348993,0.8136200716845878,0.6904761904761906,0.6777777777777777,0.5185185185185186,0.4719101123595506
